functional_ingredient_name,category_main,category_sub,claim_text,source,confidence,notes,categories_json
리스펙타(RespectaR) [프로바이오틱스 등복합물],기타,,,"official, rule, curated",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
리스펙타(Respecta®)[프로바이오틱스 등 복합물](기능성원료인정제2019-26호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
마그나스표고균사체추출물분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
마르멜로추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
마카 젤라틴화 분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
마카 젤라틴화 분말(기능성원료인정제2011-7호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
마테열수추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
매스틱 검,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
맥아구절초추출복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
모로오렌지추출분말(Morosil®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
목천료추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
무화과페이스트,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
미강주정추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
미배아발효분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
민들레 등 추출복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
민들레 등 추출복합물(기능성원료인정제2012-12호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
"밀 추출물(Ceratiq, 세라티크)",기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
밀배유추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
밀배유추출물(기능성원료인정제2015-18호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
바이오게르마늄 효모,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
바이오게르마늄 효모(기능성원료인정New제2007-15호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
발아발효콩추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
발효우슬등복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
발효울금,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
발효율피추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
배초향 추출물 (Agatri®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
배초향·고지베리·무화과복합추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
백편두추출분말(NOVAponinR),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
병풀추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
보리수나무열매추출물(Elaea),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
보이차 추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
